,url,id,brand,desc,rating,number_of_reviews,sale,price,secret_sale,options,main_category,sub_category,sub_sub_category,offers,sale_price
Too Faced Tutti Frutti - Fruit Cocktail Blush Duo,https://www.ulta.com/tutti-frutti-fruit-cocktail-blush-duo?productId=xlsImpprod18941029,xlsImpprod18941029,Too Faced,Tutti Frutti - Fruit Cocktail Blush Duo,4.50,166,0,$20.97,1,,makeup,face,blush,,
e.l.f. Cosmetics Flawless Finish Foundation,https://www.ulta.com/flawless-finish-foundation?productId=xlsImpprod14541123,xlsImpprod14541123,e.l.f. Cosmetics,Flawless Finish Foundation,3.70,387,0,$2.97 - $6.00,1,26 Colors,makeup,face,foundation,,
Urban Decay Cosmetics Naked Skin Weightless Ultra Definition Liquid Makeup,https://www.ulta.com/naked-skin-weightless-ultra-definition-liquid-makeup?productId=xlsImpprod4550001,xlsImpprod4550001,Urban Decay Cosmetics,Naked Skin Weightless Ultra Definition Liquid Makeup,4.50,7433,0,$27.97,1,13 Colors,makeup,face,foundation,,
Urban Decay Cosmetics Naked Skin Weightless Complete Coverage Concealer,https://www.ulta.com/naked-skin-weightless-complete-coverage-concealer?productId=xlsImpprod11911129,xlsImpprod11911129,Urban Decay Cosmetics,Naked Skin Weightless Complete Coverage Concealer,4.50,2906,0,$20.97,1,5 Colors,makeup,face,concealer,,
Stila Stay All Day Foundation & Concealer,https://www.ulta.com/stay-all-day-foundation-concealer?productId=xlsImpprod16411271,xlsImpprod16411271,Stila,Stay All Day Foundation & Concealer,4.00,213,0,$27.97,1,4 Colors,makeup,face,concealer,,
Anastasia Beverly Hills Stick Foundation,https://www.ulta.com/stick-foundation?productId=xlsImpprod14551041,xlsImpprod14551041,Anastasia Beverly Hills,Stick Foundation,3.80,943,0,$17.97,1,4 Colors,makeup,face,foundation,,
Urban Decay Cosmetics Naked Skin The Illuminizer Translucent Pressed Beauty Powder,https://www.ulta.com/naked-skin-illuminizer-translucent-pressed-beauty-powder?productId=xlsImpprod16061001,xlsImpprod16061001,Urban Decay Cosmetics,Naked Skin The Illuminizer Translucent Pressed Beauty Powder,4.30,123,0,$23.97,1,,makeup,face,highlighter,,
Urban Decay Cosmetics Rebound Collagen-Infused Complexion Prep Priming Spray,https://www.ulta.com/rebound-collagen-infused-complexion-prep-priming-spray?productId=xlsImpprod17391147,xlsImpprod17391147,Urban Decay Cosmetics,Rebound Collagen-Infused Complexion Prep Priming Spray,4.20,37,0,$22.97,1,,makeup,face,face primer,,
ULTA Bohemian Treasure Cream Blush,https://www.ulta.com/bohemian-treasure-cream-blush?productId=pimprod2007674,pimprod2007674,ULTA,Bohemian Treasure Cream Blush,3.80,18,0,$4.97,1,,makeup,ulta collection, ,,
Tarte Treasure Pot Glitter Gel,https://www.ulta.com/treasure-pot-glitter-gel?productId=pimprod2002689,pimprod2002689,Tarte,Treasure Pot Glitter Gel,4.50,24,0,$12.97,1,,makeup,face,highlighter,,
NARS All Day Luminous Weightless Foundation,https://www.ulta.com/all-day-luminous-weightless-foundation?productId=xlsImpprod15251331,xlsImpprod15251331,NARS,All Day Luminous Weightless Foundation,4.00,416,0,$34.97,1,,makeup,face,foundation,,
Too Faced Tutti Frutti - Fresh Squeezed Highlighting Drops,https://www.ulta.com/tutti-frutti-fresh-squeezed-highlighting-drops?productId=xlsImpprod18941015,xlsImpprod18941015,Too Faced,Tutti Frutti - Fresh Squeezed Highlighting Drops,3.60,58,0,$20.97,1,2 Colors,makeup,face,highlighter,,
Smashbox Photo Finish Mattify Primer Stick,https://www.ulta.com/photo-finish-mattify-primer-stick?productId=xlsImpprod16321358,xlsImpprod16321358,Smashbox,Photo Finish Mattify Primer Stick,3.90,43,0,$22.97,1,,makeup,face,face primer,,
Stila Stay All Day Cover Powder Finish Foundation & Concealer,https://www.ulta.com/stay-all-day-cover-powder-finish-foundation-concealer?productId=xlsImpprod16411269,xlsImpprod16411269,Stila,Stay All Day Cover Powder Finish Foundation & Concealer,3.80,104,0,$25.97,1,,makeup,face,concealer,,
Revlon PhotoReady Color Correcting Pen,https://www.ulta.com/photoready-color-correcting-pen?productId=xlsImpprod16971089,xlsImpprod16971089,Revlon,PhotoReady Color Correcting Pen,4.10,398,0,$5.97,1,,makeup,face,color correcting,,
Too Faced Tutti Frutti - Twinkle Twinkle Liquid Glitter Eyeshadow,https://www.ulta.com/tutti-frutti-twinkle-twinkle-liquid-glitter-eyeshadow?productId=xlsImpprod18941009,xlsImpprod18941009,Too Faced,Tutti Frutti - Twinkle Twinkle Liquid Glitter Eyeshadow,4.00,190,0,$15.97,1,,makeup,eyes,eyeshadow,,
Buxom Customizable Eyeshadow Bar Single Refills,https://www.ulta.com/customizable-eyeshadow-bar-single-refills?productId=xlsImpprod13561011,xlsImpprod13561011,Buxom,Customizable Eyeshadow Bar Single Refills,4.50,782,0,$8.97 - $12.00,1,42 Colors,makeup,eyes,eyeshadow,Buy Together and Save! Palette (2547459) and 6 Single Eyeshadow Refills (40 shades) $40. $85 value!,
Lancôme Ombre Hypnôse Stylo Shadow Stick Matte Metallics,https://www.ulta.com/ombre-hypnose-stylo-shadow-stick-matte-metallics?productId=xlsImpprod16801836,xlsImpprod16801836,Lancôme,Ombre Hypnôse Stylo Shadow Stick Matte Metallics,4.50,97,0,$17.97 - $25.00,1,11 Colors,makeup,eyes,eyeshadow,,
bareMinerals Gen Nude Metallic Liquid Eyeshadow,https://www.ulta.com/gen-nude-metallic-liquid-eyeshadow?productId=pimprod2007602,pimprod2007602,bareMinerals,Gen Nude Metallic Liquid Eyeshadow,4.70,17,0,$15.97,1,,makeup,eyes,eyeshadow,,
Stila Little White Lies Liquid Eyeshadow,https://www.ulta.com/little-white-lies-liquid-eyeshadow?productId=pimprod2001823,pimprod2001823,Stila,Little White Lies Liquid Eyeshadow,4.30,58,0,$16.97,1,2 Colors,makeup,eyes,eyeshadow,,
"LashFood BrowFood, Brow Transformation System",https://www.ulta.com/browfood-brow-transformation-system?productId=xlsImpprod16311035,xlsImpprod16311035,LashFood,"BrowFood, Brow Transformation System",0.00,,0,$68.97,1,,makeup,eyes,eyebrows,,
Lottie London Arch Rival Brow Artist Retractable Eyebrow Pencil,https://www.ulta.com/arch-rival-brow-artist-retractable-eyebrow-pencil?productId=xlsImpprod16241258,xlsImpprod16241258,Lottie London,Arch Rival Brow Artist Retractable Eyebrow Pencil,3.70,6,0,$3.97 - $6.49,1,2 Colors,makeup,eyes,eyebrows,,
Urban Decay Cosmetics Razor Sharp Water-Resistant Longwear Liquid Eyeliner,https://www.ulta.com/razor-sharp-water-resistant-longwear-liquid-eyeliner?productId=xlsImpprod14491011,xlsImpprod14491011,Urban Decay Cosmetics,Razor Sharp Water-Resistant Longwear Liquid Eyeliner,4.10,703,0,$15.97,1,9 Colors,makeup,eyes,eyeliner,,
LashFood BrowFood Aqua Brow Powder + Pencil Duo,https://www.ulta.com/browfood-aqua-brow-powder-pencil-duo?productId=xlsImpprod16041867,xlsImpprod16041867,LashFood,BrowFood Aqua Brow Powder + Pencil Duo,4.20,630,0,$17.97,1,,makeup,eyes,eyebrows,,
Revlon ColorStay Brow Mousse,https://www.ulta.com/colorstay-brow-mousse?productId=xlsImpprod16971081,xlsImpprod16971081,Revlon,ColorStay Brow Mousse,3.90,303,0,$1.97,1,,makeup,eyes,eyebrows,,
NARS Velvet Eyeliner,https://www.ulta.com/velvet-eyeliner?productId=xlsImpprod15251341,xlsImpprod15251341,NARS,Velvet Eyeliner,4.00,11,0,$16.97,1,,makeup,eyes,eyeliner,,
ULTA Moroccan Magic Eyeshadow Palette,https://www.ulta.com/moroccan-magic-eyeshadow-palette?productId=pimprod2007751,pimprod2007751,ULTA,Moroccan Magic Eyeshadow Palette,2.50,4,0,$9.97,1,,makeup,gifts & value sets,makeup palettes,,
Urban Decay Cosmetics Vice Lipstick,https://www.ulta.com/vice-lipstick?productId=xlsImpprod14251029,xlsImpprod14251029,Urban Decay Cosmetics,Vice Lipstick,4.60,1394,0,$13.97 - $19.00,1,24 Colors,makeup,lips,lipstick,,
Too Faced Tutti Frutti - Juicy Fruits Comfort Lip Glaze,https://www.ulta.com/tutti-frutti-juicy-fruits-comfort-lip-glaze?productId=xlsImpprod18941025,xlsImpprod18941025,Too Faced,Tutti Frutti - Juicy Fruits Comfort Lip Glaze,4.40,215,0,$13.97,1,3 Colors,makeup,lips,lip gloss,,
NARS Velvet Matte Lip Pencil,https://www.ulta.com/velvet-matte-lip-pencil?productId=xlsImpprod15251321,xlsImpprod15251321,NARS,Velvet Matte Lip Pencil,4.50,335,0,$18.97 - $27.00,1,13 Colors,makeup,lips,lip liner,,
Urban Decay Cosmetics Vice Lipstick Comfort Matte,https://www.ulta.com/vice-lipstick-comfort-matte?productId=xlsImpprod14251019,xlsImpprod14251019,Urban Decay Cosmetics,Vice Lipstick Comfort Matte,4.60,4316,0,$13.97 - $19.00,1,20 Colors,makeup,lips,lipstick,,
NARS Lip Gloss,https://www.ulta.com/lip-gloss?productId=xlsImpprod15801075,xlsImpprod15801075,NARS,Lip Gloss,4.30,166,0,$18.97 - $24.00,1,12 Colors,makeup,lips,lip gloss,,
Anastasia Beverly Hills Matte Lipstick,https://www.ulta.com/matte-lipstick?productId=xlsImpprod16451255,xlsImpprod16451255,Anastasia Beverly Hills,Matte Lipstick,4.30,476,0,$12.97 - $18.00,1,26 Colors,makeup,lips,lipstick,,
Anastasia Beverly Hills Lip Gloss,https://www.ulta.com/lip-gloss?productId=xlsImpprod13811009,xlsImpprod13811009,Anastasia Beverly Hills,Lip Gloss,4.50,882,0,$11.97 - $16.00,1,17 Colors,makeup,lips,lip gloss,,
Urban Decay Cosmetics Vice Lipstick Metallized,https://www.ulta.com/vice-lipstick-metallized?productId=xlsImpprod14251023,xlsImpprod14251023,Urban Decay Cosmetics,Vice Lipstick Metallized,4.60,4316,0,$13.97 - $19.00,1,11 Colors,makeup,lips,lipstick,,
Too Faced Melted Matte-Tallic Liquified Lipstick,https://www.ulta.com/melted-matte-tallic-liquified-lipstick?productId=xlsImpprod18631031,xlsImpprod18631031,Too Faced,Melted Matte-Tallic Liquified Lipstick,4.30,200,0,$14.97,1,4 Colors,makeup,lips,lipstick,,
Lipstick Queen Sinner - Opaque Lipstick,https://www.ulta.com/sinner-opaque-lipstick?productId=xlsImpprod5120071,xlsImpprod5120071,Lipstick Queen,Sinner - Opaque Lipstick,4.40,306,0,$16.97 - $24.00,1,11 Colors,makeup,lips,lipstick,,
KKW BEAUTY Sooo Fire Lip Gloss,https://www.ulta.com/sooo-fire-lip-gloss?productId=pimprod2011581,pimprod2011581,KKW BEAUTY,Sooo Fire Lip Gloss,4.30,36,0,$8.97,1,,makeup,lips,lip gloss,,
Urban Decay Cosmetics Vice Lipstick Mega Matte,https://www.ulta.com/vice-lipstick-mega-matte?productId=xlsImpprod14251021,xlsImpprod14251021,Urban Decay Cosmetics,Vice Lipstick Mega Matte,4.60,4316,0,$13.97 - $19.00,1,4 Colors,makeup,lips,lipstick,,
Urban Decay Cosmetics Sparkle Out Loud Hi-Fi Shine Ultra Cushion Lip Gloss,https://www.ulta.com/sparkle-out-loud-hi-fi-shine-ultra-cushion-lip-gloss?productId=pimprod2006949,pimprod2006949,Urban Decay Cosmetics,Sparkle Out Loud Hi-Fi Shine Ultra Cushion Lip Gloss,4.20,256,0,$13.97,1,2 Colors,makeup,lips,lip gloss,,
Too Faced Sweet Peach Creamy Lip Oil,https://www.ulta.com/sweet-peach-creamy-lip-oil?productId=xlsImpprod15191123,xlsImpprod15191123,Too Faced,Sweet Peach Creamy Lip Oil,4.50,1187,0,$13.97,1,,makeup,lips,lip gloss,,
Smashbox Be Legendary Liquid Lip,https://www.ulta.com/be-legendary-liquid-lip?productId=xlsImpprod15621021,xlsImpprod15621021,Smashbox,Be Legendary Liquid Lip,4.20,489,0,$16.97 - $24.00,1,8 Colors,makeup,lips,lipstick,,
Lottie London Lip Foil Iridescent Duo Chrome Lip Topper,https://www.ulta.com/lip-foil-iridescent-duo-chrome-lip-topper?productId=xlsImpprod18481005,xlsImpprod18481005,Lottie London,Lip Foil Iridescent Duo Chrome Lip Topper,4.20,6,0,$3.97 - $6.49,1,2 Colors,makeup,lips,lip gloss,,
Lottie London Slay All Day Longwear Matte Liquid Lipstick,https://www.ulta.com/slay-all-day-longwear-matte-liquid-lipstick?productId=xlsImpprod16241330,xlsImpprod16241330,Lottie London,Slay All Day Longwear Matte Liquid Lipstick,4.10,72,0,$3.97,1,3 Colors,makeup,lips,lipstick,,
Lottie London Slay All Day Longwear Metallic Liquid Lipstick,https://www.ulta.com/slay-all-day-longwear-metallic-liquid-lipstick?productId=xlsImpprod16971047,xlsImpprod16971047,Lottie London,Slay All Day Longwear Metallic Liquid Lipstick,5.00,1,0,$3.97,1,2 Colors,makeup,lips,lipstick,,
Lottie London #HOLO Duo Chrome Lip Gloss,https://www.ulta.com/holo-duo-chrome-lip-gloss?productId=xlsImpprod16971043,xlsImpprod16971043,Lottie London,#HOLO Duo Chrome Lip Gloss,4.60,33,0,$3.97,1,2 Colors,makeup,lips,lip gloss,,
Too Faced Melted Liquified Long Wear Lipstick,https://www.ulta.com/melted-liquified-long-wear-lipstick?productId=xlsImpprod6500036,xlsImpprod6500036,Too Faced,Melted Liquified Long Wear Lipstick,4.10,3518,0,$14.97,1,,makeup,lips,lipstick,,
Urban Decay Cosmetics Vice Special Effects Long-Lasting Water-Resistant Lip Topcoat,https://www.ulta.com/vice-special-effects-long-lasting-water-resistant-lip-topcoat?productId=xlsImpprod15771057,xlsImpprod15771057,Urban Decay Cosmetics,Vice Special Effects Long-Lasting Water-Resistant Lip Topcoat,3.80,293,0,$13.97,1,,makeup,lips,lip gloss,,
TPSY Absoliptly Lipstick,https://www.ulta.com/absoliptly-lipstick?productId=xlsImpprod18101177,xlsImpprod18101177,TPSY,Absoliptly Lipstick,3.00,3,0,$10.97,1,,makeup,lips,lipstick,,
